x,y,class
2.375386004476516,-2.151675481191223,0
0.1551750138543788,-3.93991940467459,1
0.580630543652056,-2.425793499136144,1
2.045291017201235,-2.755232490954228,0
0.637783237709419,-1.3961652933196311,1
-1.8029838463755752,-2.1063571391439018,0
-2.65807019467599,-4.090561637395236,1
3.5742932294458214,3.096076476672291,0
-1.4570519763051593,1.7854694749939215,1
3.577786586828797,-1.6947151596578056,0
-3.941692460722313,-3.0220143206471075,1
-0.4054232920960796,-0.4227213319074172,1
1.7514473082860684,3.080669877389486,0
1.108961297921276,-2.121987954014526,0
-2.8135836209398057,2.4698463618599025,1
-3.4400095935014505,1.0512650145939588,1
4.487458554723464,4.037837237218326,0
-3.328009584774685,0.6585187045717076,1
-1.412279450352103,0.0922419305958275,0
4.416024983275751,3.719914944843756,0
-0.1391337956365879,3.5720554212877147,0
-0.212973580428204,4.659045053970276,0
-4.685615823365723,-1.2790010632200255,0
-3.4951556600996603,-2.040259662596484,1
-4.010063806735728,4.830340941191006,0
-1.111987109486746,-3.7429126023749006,1
-4.460739143641402,-3.046068138926934,0
2.3112630706177137,0.9815891662878188,0
3.4937666809895127,-3.7496678329566855,0
0.3948572868213249,-3.2304342728852453,1
-0.3051946266931278,2.961980582959727,0
-0.7020697731890211,2.96295908832038,0
0.5177689063636182,-0.7939823818616123,1
-2.143129926617795,-4.175914468619196,1
0.0386494703473729,4.264219552169728,1
2.4473191619952868,-1.438024829460809,0
-3.161263030192761,-3.3121878400002998,1
-3.625708660657903,2.5518161438805738,0
-2.3076298965415285,0.0751700876112835,1
-3.1698834926212305,2.332060110131298,0
3.149981057252928,4.045020744718295,0
-0.0785319465801333,-4.877617709282029,0
-1.7281612102657986,-0.9847019864863436,1
-3.008044179146502,2.486644332580945,1
0.4274424030368653,-1.5479873714978734,1
2.271445052411898,0.3818986270248086,1
-3.12313015893412,3.521577738097782,1
1.039425191243705,4.119807938739195,0
2.6678763814590623,3.0957982481294586,1
4.472642859893972,-2.734840938939188,0
-0.937230782232275,4.48577178856687,0
2.750277301515358,-2.3741184469002707,0
-4.379097513519801,-0.1426207775846961,0
-1.9287109045144293,-0.289605621525081,1
4.503901390745103,-2.2192523437182885,0
0.9292867072346144,4.343533019377848,1
2.069729428337572,-3.118428922332377,0
-2.0760354447933818,-2.9949717685185586,0
4.576199913851365,-4.558436101728645,0
2.4024088703816258,-1.716205532271834,0
1.908548286631289,1.5058773547496769,0
-3.0466690812297257,0.7847965498578393,0
-4.151160454287042,4.864291420253933,0
0.9461675247378558,1.4202113212207437,0
0.9860853058594898,3.0760667733613776,1
2.6177280661757587,-3.2517570574426555,0
-1.6810215521656031,0.6087021895809723,1
2.462418781174507,-2.418639761103046,0
-3.852597398383735,1.9976062846265008,0
1.764842889380505,-2.9992903500965964,1
4.932008558476003,-2.8166539836560944,1
3.643913431452592,2.202417586963956,1
2.924862543727853,4.054104923295148,0
-1.906562944522383,-4.787731233811262,1
